ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,report_date
MMM,3M Company,1999-01-25T00:00:00.000Z,TNS,0.4,0.43,7.37,EDT,0,EQUITY,1999-01-25
MMM,3M Company,1999-04-30T00:00:00.000Z,TNS,0.46,0.48,3.71,EDT,0,EQUITY,1999-04-30
MMM,3M Company,1999-07-29T00:00:00.000Z,TNS,0.5,0.52,2.9,EDT,0,EQUITY,1999-07-29
MMM,3M Company,1999-10-25T00:00:00.000Z,TNS,0.53,0.57,7.92,EDT,0,EQUITY,1999-10-25
MMM,3M Company,2000-01-26T00:00:00.000Z,TNS,0.51,0.55,8.82,EDT,0,EQUITY,2000-01-26
MMM,3M Company,2000-04-25T00:00:00.000Z,TNS,0.54,0.56,4.74,EDT,0,EQUITY,2000-04-25
MMM,3M Company,2000-07-26T00:00:00.000Z,TNS,0.58,0.59,1.98,EDT,0,EQUITY,2000-07-26
MMM,3M Company,2000-10-23T00:00:00.000Z,TNS,0.61,0.63,2.04,EDT,0,EQUITY,2000-10-23
MMM,3M Company,2001-01-24T00:00:00.000Z,TNS,0.6,0.56,-6.8,EDT,0,EQUITY,2001-01-24
MMM,3M Company,2001-04-23T00:00:00.000Z,TNS,0.58,0.58,0.0,EDT,0,EQUITY,2001-04-23
MMM,3M Company,2001-07-23T00:00:00.000Z,TNS,0.56,0.56,0.49,EDT,0,EQUITY,2001-07-23
MMM,3M Company,2001-10-22T00:00:00.000Z,TNS,0.55,0.55,0.76,EDT,0,EQUITY,2001-10-22
MMM,3M Company,2002-01-18T00:00:00.000Z,TNS,0.49,0.49,0.82,EDT,0,EQUITY,2002-01-18
MMM,3M Company,2002-04-22T00:00:00.000Z,TNS,0.59,0.62,3.68,EDT,0,EQUITY,2002-04-22
MMM,3M Company,2002-07-22T00:00:00.000Z,TNS,0.67,0.68,1.75,EDT,0,EQUITY,2002-07-22
MMM,3M Company,2002-10-21T00:00:00.000Z,TNS,0.69,0.69,0.26,EDT,0,EQUITY,2002-10-21
MMM,3M Company,2003-01-21T00:00:00.000Z,TNS,0.64,0.65,0.78,EDT,0,EQUITY,2003-01-21
MMM,3M Company,2003-04-21T00:00:00.000Z,TNS,0.7,0.71,1.33,EDT,0,EQUITY,2003-04-21
MMM,3M Company,2003-07-21T00:00:00.000Z,TNS,0.75,0.78,3.57,EDT,0,EQUITY,2003-07-21
MMM,3M Company,2003-10-20T00:00:00.000Z,TNS,0.79,0.83,4.53,EDT,0,EQUITY,2003-10-20
MMM,3M Company,2004-01-20T00:00:00.000Z,TNS,0.76,0.77,1.49,EDT,0,EQUITY,2004-01-20
MMM,3M Company,2004-04-19T00:00:00.000Z,TNS,0.87,0.9,3.08,EDT,0,EQUITY,2004-04-19
MMM,3M Company,2004-07-19T00:00:00.000Z,TNS,0.96,0.97,0.74,EDT,0,EQUITY,2004-07-19
MMM,3M Company,2004-10-18T00:00:00.000Z,TNS,0.98,0.97,-0.59,EDT,0,EQUITY,2004-10-18
MMM,3M Company,2005-01-18T00:00:00.000Z,TNS,0.91,0.91,0.47,EDT,0,EQUITY,2005-01-18
MMM,3M Company,2005-04-18T00:00:00.000Z,TNS,1.01,1.03,1.91,EDT,0,EQUITY,2005-04-18
MMM,3M Company,2005-07-18T00:00:00.000Z,TNS,1.09,1.09,0.13,EDT,0,EQUITY,2005-07-18
MMM,3M Company,2005-10-18T00:00:00.000Z,TNS,1.08,1.1,2.03,EDT,0,EQUITY,2005-10-18
MMM,3M Company,2006-01-24T00:00:00.000Z,TNS,1.03,1.04,0.62,EDT,0,EQUITY,2006-01-24
MMM,3M Company,2006-04-21T00:00:00.000Z,TNS,1.14,1.17,2.29,EDT,0,EQUITY,2006-04-21
MMM,3M Company,2006-07-25T00:00:00.000Z,TNS,1.07,1.05,-2.02,EDT,0,EQUITY,2006-07-25
MMM,3M Company,2006-10-20T00:00:00.000Z,TNS,1.12,1.17,4.2,EDT,0,EQUITY,2006-10-20
MMM,3M Company,2007-01-30T00:00:00.000Z,TNS,1.14,1.1,-3.87,EDT,0,EQUITY,2007-01-30
MMM,3M Company,2007-04-26T00:00:00.000Z,TNS,1.12,1.28,14.65,EDT,0,EQUITY,2007-04-26
MMM,3M Company,2007-07-26T00:00:00.000Z,TNS,1.18,1.23,4.1,EDT,0,EQUITY,2007-07-26
MMM,3M Company,2007-10-19T00:00:00.000Z,TNS,1.28,1.29,0.52,EDT,0,EQUITY,2007-10-19
MMM,3M Company,2008-01-29T00:00:00.000Z,TNS,1.17,1.19,1.64,EDT,0,EQUITY,2008-01-29
MMM,3M Company,2008-04-24T00:00:00.000Z,TNS,1.35,1.38,2.22,EDT,0,EQUITY,2008-04-24
